iter	Passed	Remaining
0	3224	3221600
1	4396	2193693
2	5647	1876972
3	8069	2009302
4	9971	1984299
5	11914	1973861
6	14208	2015635
7	15856	1966177
8	17960	1977689
9	19945	1974642
10	22030	1980756
11	23644	1946734
12	25435	1931129
13	27080	1907208
14	29275	1922433
15	31362	1928808
16	33054	1911345
17	34361	1874609
18	35926	1854942
19	37876	1855932
20	40013	1865371
21	41725	1854871
22	43794	1860335
23	45688	1857983
24	47336	1846121
25	49189	1842733
26	51233	1846310
27	53268	1849176
28	54972	1840635
29	57145	1847705
30	58940	1842373
31	61155	1849965
32	63035	1847135
33	64763	1840033
34	67007	1847505
35	68897	1844917
36	71005	1848051
37	72772	1842284
38	74813	1843483
39	76426	1834239
40	78666	1840033
41	81010	1847804
42	83130	1850134
43	85224	1851700
44	87297	1852637
45	89574	1857690
46	91886	1863144
47	94062	1865573
48	96360	1870183
49	98762	1876482
50	101180	1882754
51	103413	1885300
52	105642	1887607
53	107883	1889966
54	110196	1893382
55	112564	1897519
56	115081	1903888
57	117500	1908377
58	119920	1912628
59	122026	1911744
60	123049	1894162
61	124075	1877144
62	126155	1876309
63	128462	1878760
64	130315	1874534
65	132550	1875794
66	134661	1875213
67	136853	1875692
68	138690	1871318
69	140811	1870780
70	142949	1870426
71	143946	1855307
72	146137	1855748
73	147869	1850362
74	150249	1853076
75	152441	1853373
76	154374	1850494
77	156506	1849985
78	158719	1850387
79	160980	1851278
80	162893	1848136
81	165052	1847779
82	167022	1845296
83	169153	1844579
84	171347	1844505
85	173562	1844601
86	175439	1841109
87	177599	1840579
88	179704	1839449
89	181770	1837903
90	183392	1831914
91	185478	1830591
92	187666	1830252
93	189999	1831268
94	192238	1831328
95	194411	1830705
96	196588	1830092
97	198765	1829457
98	200757	1827094
99	203071	1827642
100	205306	1827429
101	207170	1823909
102	209425	1823833
103	211587	1822905
104	213920	1823421
105	216179	1823249
106	218551	1823988
107	220835	1823934
108	223001	1822885
109	225212	1822176
110	227534	1822325
111	229927	1822997
112	232031	1821345
113	234441	1822064
114	236885	1822987
115	239124	1822295
116	241366	1821594
117	243455	1819724
118	245736	1819279
119	247542	1815312
120	249858	1815088
121	251970	1813363
122	254439	1814171
123	256494	1812011
124	257542	1802795
125	259080	1797112
126	261789	1799545
127	264144	1799481
128	265485	1792540
129	268198	1794867
130	270303	1793080
131	271418	1784782
132	273967	1785938
133	276240	1785257
134	277717	1779448
135	280026	1778991
136	282425	1779075
137	284107	1774644
138	285742	1769960
139	287911	1768599
140	289404	1763111
141	291716	1762627
142	293788	1760673
143	295753	1758091
144	297823	1756130
145	300593	1758263
146	303163	1759172
147	305388	1758044
148	307700	1757400
149	309660	1754744
150	312379	1756356
151	314362	1753811
152	316502	1752138
153	318846	1751587
154	321292	1751562
155	323339	1749349
156	325616	1748373
157	328038	1748155
158	330251	1746802
159	332526	1745764
160	334689	1744125
161	337004	1743270
162	339150	1741525
163	341313	1739867
164	343504	1738341
165	345501	1735830
166	347866	1735163
167	350209	1734369
168	352444	1733028
169	354725	1731896
170	356893	1730201
171	359218	1729262
172	361416	1727697
173	363706	1726561
174	365826	1724612
175	368015	1722979
176	370120	1720957
177	372136	1718518
178	374336	1716930
179	376355	1714508
180	378633	1713265
181	380793	1711480
182	383019	1709982
183	385568	1709913
184	387875	1708748
185	390264	1707933
